id,movie_name,public_id,release_year,synopsis,poster_url,category_id,created_by,created_date,last_modified_date
1,Inception,9e8c4b3e-bc71-42ed-b726-90b94a6c3bc3,2010,A mind-bending thriller about dreams within dreams.,https://example.com/inception.jpg,1,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
2,The Matrix,72f9b17b-bd33-4805-b84e-d5b9e4a9e5e8,1999,A hacker discovers reality is a simulation.,https://example.com/matrix.jpg,2,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
3,Interstellar,0c946b5c-6839-4b45-b38e-609c98f37c81,2014,A journey through space and time to save humanity.,https://example.com/interstellar.jpg,3,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
4,The Dark Knight,15d1e72a-943d-4540-b6b4-9c393f9c1a67,2008,Batman faces his greatest challenge with the Joker.,https://example.com/darkknight.jpg,4,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
5,Avatar,6ea8c94f-51c4-41bf-a779-376b7a951eda,2009,An epic science fiction film set on the alien world of Pandora.,https://example.com/avatar.jpg,5,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
6,Gladiator,01d5fdb8-3d9f-48b5-bf75-91d3b3d3db32,2000,A former Roman General seeks revenge for the murder of his family.,https://example.com/gladiator.jpg,6,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
7,Titanic,49e57313-c8f1-406e-9e94-2e3b252e93e1,1997,A romance set against the ill-fated maiden voyage of the Titanic.,https://example.com/titanic.jpg,7,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
8,Pulp Fiction,b81a9bf1-3e10-4898-9ff2-7a14882b6d8e,1994,An intertwined story of crime and redemption.,https://example.com/pulpfiction.jpg,8,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
9,The Shawshank Redemption,da9f6b65-fd57-4dd2-857c-0e68567d5ae7,1994,A man wrongly imprisoned finds hope and redemption.,https://example.com/shawshank.jpg,9,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
10,Forrest Gump,2b61987a-188e-45e1-9617-3d4fb7a8f98e,1994,The story of a man who inadvertently impacts key events in American history.,https://example.com/forrestgump.jpg,10,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
11,The Godfather,8b52b9d4-2b3f-4b5c-8804-1a8e872e7270,1972,A story of a powerful Italian-American crime family.,https://example.com/godfather.jpg,11,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
12,Star Wars,b21e2e0c-101b-4f64-9c37-5691b7aa3e79,1977,A young hero joins the fight against an evil galactic empire.,https://example.com/starwars.jpg,12,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
13,The Lord of the Rings,3b13f625-3e4a-49b6-a2cf-4dd3bb34bf81,2001,A hobbit embarks on an epic journey to destroy a powerful ring.,https://example.com/lordoftherings.jpg,13,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
14,Jurassic Park,e44d36a9-95e9-4e02-bff8-4f7281fd429b,1993,Dinosaurs are brought back to life with unintended consequences.,https://example.com/jurassicpark.jpg,14,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
15,Fight Club,9f14671b-80b6-4952-b454-93d78f654ab8,1999,Two men form an underground fight club that spirals out of control.,https://example.com/fightclub.jpg,15,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
16,The Avengers,d99f4e2a-d37a-4bc0-819b-11b839ce5cc3,2012,Earth's mightiest heroes come together to stop a powerful enemy.,https://example.com/avengers.jpg,16,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
17,Inglorious Bastards,f3907e8f-7c57-4f2e-889d-b1762f9d5a1a,2009,During World War II,https://example.com/avengers.jpg,17,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
18,The Social Network,a12c5a2d-5187-4675-a1a7-76e1f0dbd7ea,2010,The story of the founding of Facebook and its rise to prominence.,https://example.com/socialnetwork.jpg,18,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
19,The Wolf of Wall Street,3a3b7b59-b5a1-47f7-9a91-c4ab6c0ae6b3,2013,A stockbroker rises to wealth and power through corruption.,https://example.com/wolfofwallstreet.jpg,19,2,"2024-01-01 12:00:00","2024-01-01 12:00:00"
20,Schindler's List,f81b7e95-c7f8-4ff0-8cf5-cc2c1e3682a5,1993,A businessman saves the lives of Jewish refugees during World War II.,https://example.com/schindlerslist.jpg,20,1,"2024-01-01 12:00:00","2024-01-01 12:00:00"
